Image,Title,Genre,Type,Episode,Total Watched,Release Year,Watch Status,Rating,Progress,Notes
https://cdn.myanimelist.net/images/anime/1776/97682.jpg,Arifureta: From Commonplace to World's Strongest S1,"Action, Adventure, Fantasy",TV,12,12,2019,Completed,7.9,100%,
https://cdn.myanimelist.net/images/anime/1877/119668.jpg,Arifureta: From Commonplace to World's Strongest S2,"Action, Adventure, Fantasy",TV,12,12,2022,Completed,7.4,100%,
https://cdn.myanimelist.net/images/anime/1145/127792.jpg,Arifureta: From Commonplace to World's Strongest S3,"Action, Adventure, Fantasy",TV,16,12,2024,Currently Watching,7.6,75%,
https://cdn.myanimelist.net/images/anime/13/44844.jpg,Date A Live S1,"Romance, Sci-Fi",TV,12,6,2013,Completed,8.6,50%,
https://cdn.myanimelist.net/images/anime/1703/135124.jpg,Date A Live S2,"Action, Romance, Sci-Fi",TV,12,12,2014,Completed,8.1,100%,
https://cdn.myanimelist.net/images/anime/1055/100468.jpg,Date A Live S3,"Action, Romance, Sci-Fi",TV,12,12,2019,Completed,5.1,100%,Animation was bad
https://cdn.myanimelist.net/images/anime/1368/121281.jpg,Date A Live S4,"Action, Romance, Sci-Fi",TV,12,12,2022,Completed,7.4,100%,
https://cdn.myanimelist.net/images/anime/1665/135139.jpg,Date A Live S5,"Action, Romance, Sci-Fi",TV,12,0,2024,Planning,,0%,
https://cdn.myanimelist.net/images/anime/9/75466.jpg,Date A Live Movie: Mayuri Judgement,"Action, Romance, Sci-Fi",Movie,1,1,2015,Completed,7,100%,
https://cdn.myanimelist.net/images/anime/1719/95621.jpg,Goblin Slayer S1,"Action, Adventure, Fantasy",TV,12,12,2018,Completed,9,100%,"EP1 is a trap, overall very good"
https://cdn.myanimelist.net/images/anime/1100/138338.jpg,Goblin Slayer S2,"Action, Adventure, Fantasy",TV,12,12,2023,Completed,7.1,100%,
https://cdn.myanimelist.net/images/anime/1249/117182.jpg,Saga of Tanya the Evil: The Movie,"Action, Fantasy",Movie,1,1,2019,Completed,9,100%,Long Overdue for Season 2 tbh
https://cdn.myanimelist.net/images/anime/1026/146459.jpg,Sakamoto Days,"Action, Comedy",TV,12,2,2025,Currently Watching,6,16.67%,
https://cdn.myanimelist.net/images/anime/1500/139931.jpg,Shangri-La Frontier S1,"Action, Adventure, Fantasy",TV,24,24,2023,Completed,9,100%,
https://cdn.myanimelist.net/images/anime/1996/147601.jpg,Shangri-La Frontier S2,"Action, Adventure, Fantasy",TV,24,6,2025,Currently Watching,9.2,25%,
https://cdn.myanimelist.net/images/anime/11/39717.jpg,Sword Art Online S1,"Action, Adventure, Fantasy",TV,12,12,2012,Completed,8.4,100%,
https://cdn.myanimelist.net/images/anime/1223/121999.jpg,Sword Art Online S2," Action, Adventure, Fantasy, Romance",TV,24,24,2014,Completed,7.9,100%,
https://cdn.myanimelist.net/images/anime/1993/93837.jpg,Sword Art Online: Alicization,"Action, Adventure, Fantasy",TV,12,12,2018,Completed,7.2,100%,
https://cdn.myanimelist.net/images/anime/1708/138033.jpg,The Apothecary Diaries,"Drama, Mystery",TV,12,12,2024,Completed,9.3,100%,
https://cdn.myanimelist.net/images/anime/1025/147458.jpg,The Apothecary Diaries S2,"Drama, Mystery",TV,12,0,2025,Planning,,0%,
https://cdn.myanimelist.net/images/anime/3/50177.jpg,The Devil is A Part-Timer S1,"Comedy, Supernatural",TV,12,12,2013,Completed,8,100%,
https://cdn.myanimelist.net/images/anime/1502/124354.jpg,The Devil is A Part-Timer S2,"Comedy, Supernatural",TV,12,12,2022,Completed,7.1,100%,
https://cdn.myanimelist.net/images/anime/5/82890.jpg,The Saga of Tanya the Evil S1,"Action, Fantasy",TV,12,12,2017,Completed,9.3,100%,
https://cdn.myanimelist.net/images/anime/13/75587.jpg,Nisekoi,"Comedy, Romance",TV,20,20,2014,Completed,8.4,100%,
https://cdn.myanimelist.net/images/anime/13/72626.jpg,Nisekoi S2,"Comedy, Romance",TV,12,12,2015,Completed,7.5,100%,Desperately needs a S3 for closure tbh
https://cdn.myanimelist.net/images/anime/1472/93813.jpg,Knight's & Magic,"Action, Fantasy",TV,13,13,2017,Completed,7.9,100%,"Could use a S2, quite interesting"
https://cdn.myanimelist.net/images/anime/5/88533.jpg,Akashic Records of Bastard Magic Instructor,"Action, Fantasy",TV,12,12,2017,Completed,9.6,100%,"Fucking needs a S2 FFS, long overdue"
https://cdn.myanimelist.net/images/anime/9/40969.jpg,Girls und Panzer,Action,TV,12,12,2013,Completed,8.2,100%,
https://cdn.myanimelist.net/images/anime/1776/91467.jpg,Girls und Panzer der Film,Action,Movie,1,1,2015,Completed,7.7,100%,
https://cdn.myanimelist.net/images/anime/1859/91463.jpg,Girls & Panzer: Saishuushou Part 1,Action,Movie,1,1,2017,Completed,7.6,100%,
https://cdn.myanimelist.net/images/anime/1240/119215.jpg,Girls & Panzer: Saishuushou Part 2,Action,Movie,1,1,2019,Completed,7.7,100%,
https://cdn.myanimelist.net/images/anime/1894/119214.jpg,Girls & Panzer: Saishuushou Part 3,Action,Movie,1,1,2021,Completed,6.6,100%,
https://cdn.myanimelist.net/images/anime/1258/136970.jpg,Girls & Panzer: Saishuushou Part 4,Action,Movie,1,1,2023,Completed,7.9,100%,
